"Argillic horizon"|20|33|76|152|200|200|76|167|192|"23051661"|"13312539"
"Ochric epipedon"|0|0|0|13|32|53|13|32|53|"23051662"|"13312541"
"Argillic horizon"|13|32|53|200|200|200|147|168|187|"23051662"|"13312542"
"Strongly contrasting particle size class"|36|60|99|||||||"23051662"|"13312543"
"Fragipan"|46|53|71|76|86|132|5|33|86|"23051663"|"13312546"
"Ochric epipedon"|0|0|0|5|18|25|5|18|25|"23051663"|"13312544"
"Argillic horizon"|5|18|25|200|200|200|175|182|195|"23051663"|"13312545"
"Redox depletions with chroma 2 or less"|41|48|66|46|53|76||5||"23051663"|"13312547"
"Ochric epipedon"|0|0|0|25|38|46||38||"23051664"|"13312549"
"Argillic horizon"|25|38|46|200|200|200||162||"23051664"|"13312548"
"Ochric epipedon"|0|0|0|20|33|76|8|33|76|"23051665"|"13312551"
"Argillic horizon"|20|33|76|152|200|200|76|167|192|"23051665"|"13312550"
"Ochric epipedon"|0|0|0|13|32|53|13|32|53|"23051666"|"13312552"
"Argillic horizon"|13|32|53|200|200|200|147|168|187|"23051666"|"13312553"
"Strongly contrasting particle size class"|36|60|99|||||||"23051666"|"13312554"
"Fragipan"|46|53|71|76|86|132|5|33|86|"23051667"|"13312557"
"Ochric epipedon"|0|0|0|5|18|25|5|18|25|"23051667"|"13312555"
"Argillic horizon"|5|18|25|200|200|200|175|182|195|"23051667"|"13312556"
"Redox depletions with chroma 2 or less"|41|48|66|46|53|71||5||"23051667"|"13312558"
"Ochric epipedon"|0|0|0|25|38|46||38||"23051668"|"13312559"
"Argillic horizon"|25|38|46|200|200|200||162||"23051668"|"13312560"
"Lithic contact"|51|79|102|||||||"23051669"|"13312562"
"Ochric epipedon"|0|0|0|10|10|22|10|10|22|"23051669"|"13312561"
"Argillic horizon"|10|10|22|51|79|102|29|69|92|"23051669"|"13312563"
"Redox depletions with chroma 2 or less"|46|53|61|51|79|102||26||"23051669"|"13312564"
"Lithic contact"|10|33|51|||||||"23051670"|"13312565"
"Mollic epipedon"|0|0|0|5|10|25|5|10|25|"23051670"|"13312566"
"Ochric epipedon"|1|2|4|13|15|36|9|13|35|"23051671"|"13312568"
"Argillic horizon"|13|15|36|200|200|200|164|185|187|"23051671"|"13312567"
"Ochric epipedon"|0|0|0|25|38|46||38||"23051673"|"13312569"
"Argillic horizon"|25|38|46|200|200|200||162||"23051673"|"13312570"
"Ochric epipedon"|0|0|0|5|10|20|5|10|20|"23051674"|"13312571"
"Argillic horizon"|5|10|20|200|200|200|180|190|195|"23051674"|"13312572"
"Ochric epipedon"|0|0|0|13|32|53|13|32|53|"23051675"|"13312573"
"Argillic horizon"|13|32|53|200|200|200|147|168|187|"23051675"|"13312574"
"Strongly contrasting particle size class"|36|60|99|||||||"23051675"|"13312575"
"Fragipan"|40|86|91|66|147|157|0|61|117|"23051676"|"13312578"
"Ochric epipedon"|1|2|4|15|32|48|11|30|47|"23051676"|"13312576"
"Argillic horizon"|15|32|48|200|200|200|152|168|185|"23051676"|"13312577"
"Redox depletions with chroma 2 or less"|36|82|87|40|86|91||4||"23051676"|"13312579"
